Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,1.00237999017077,5.31394316924430,0.000000000000000E+000,5.28597576849593,0.000000000000000E+000,0.140754614921477,0.140754614921477,0.140754614921477,0.154019599327161,3.317992398525795E-002,9.294299910333617E-002,0.406035247778074,0.158803591740265 
 01/01  02:00:00,0.819109391286300,5.49710918246802,0.000000000000000E+000,5.47135857329216,0.000000000000000E+000,0.145143787481338,0.145143787481338,0.145143787481338,8.984479946806206E-002,1.935495279772985E-002,7.618584051012475E-002,0.373851509163160,9.808448855068611E-002 
 01/01  03:00:00,0.764220169979850,5.91277431076133,0.000000000000000E+000,5.88732225937301,0.000000000000000E+000,0.156290990045426,0.156290990045426,0.156290990045426,6.417484765829316E-002,1.382496603892098E-002,6.232654333565033E-002,0.369516998911993,8.144181067436725E-002 
 01/01  04:00:00,0.763004670469990,6.18640127556287,0.000000000000000E+000,6.16130749351961,0.000000000000000E+000,0.163961458891863,0.163961458891863,0.163961458891863,6.417484765829316E-002,1.382496603892098E-002,5.397647371529803E-002,0.364315586610592,8.610732423982401E-002 
 01/01  05:00:00,0.813464999193381,6.31668645699046,0.000000000000000E+000,6.29254059592267,0.000000000000000E+000,0.167307441866988,0.167307441866988,0.167307441866988,6.417484765829316E-002,1.382496603892098E-002,6.582291696649339E-002,0.350553516563136,0.135137296784349 
 01/01  06:00:00,1.08019380037733,6.34411522693020,0.000000000000000E+000,6.31717038660415,0.000000000000000E+000,0.167646806340582,0.167646806340582,0.167646806340582,6.417484765829316E-002,1.382496603892098E-002,8.007824464053613E-002,0.391189550167829,0.346635372215973 
 01/01  07:00:00,1.69422280664860,6.16038437175280,0.000000000000000E+000,6.12925225845644,0.000000000000000E+000,0.162428655240924,0.162428655240924,0.162428655240924,0.147602159173913,3.179742000169565E-002,0.140383655227083,0.451981056440445,0.743385847249335 
 01/01  08:00:00,2.13816992856774,6.64198423578289,0.000000000000000E+000,6.60890403292277,0.000000000000000E+000,0.174832650541127,0.174832650541127,0.174832650541127,0.301621758501075,6.497734398695361E-002,0.228567473812190,0.480263735829312,0.856262940581879 
 01/01  09:00:00,2.07051253722084,6.14112850766699,0.000000000000000E+000,6.11316110691861,0.000000000000000E+000,0.162398778519607,0.162398778519607,0.162398778519607,0.288786798529254,6.221235318185273E-002,0.301128191032485,0.406035247778074,0.833307154864366 
 01/01  10:00:00,1.82335079077580,6.04533891829143,0.000000000000000E+000,6.02153639867935,0.000000000000000E+000,0.159244234696082,0.159244234696082,0.159244234696082,0.147602159173913,3.179742000169565E-002,0.375064854196324,0.345568829774295,0.747429279618290 
 01/01  11:00:00,1.74113137039712,6.91988773317326,0.000000000000000E+000,6.89552541770950,0.000000000000000E+000,0.183839515046727,0.183839515046727,0.183839515046727,0.121932239230273,2.626743839149390E-002,0.395793165817765,0.353696036495233,0.642958962100430 
 01/01  12:00:00,1.62905614438794,5.63436458823465,0.000000000000000E+000,5.60999480882620,0.000000000000000E+000,0.148532635362429,0.148532635362429,0.148532635362429,0.121932239230273,2.626743839149390E-002,0.413608816278677,0.353804399251512,0.548266602558359 
 01/01  13:00:00,1.52689124319195,5.24391593144028,0.000000000000000E+000,5.21995666898972,0.000000000000000E+000,0.138795757018809,0.138795757018809,0.138795757018809,0.121932239230273,2.626743839149390E-002,0.399656799716067,0.347844447656158,0.475750547863950 
 01/01  14:00:00,1.44963414961699,4.98771102103026,0.000000000000000E+000,4.96292326071924,0.000000000000000E+000,0.132553299564413,0.132553299564413,0.132553299564413,0.121932239230273,2.626743839149390E-002,0.361436104744461,0.359872713603146,0.430928340767997 
 01/01  15:00:00,1.40167992110424,4.83383424825794,0.000000000000000E+000,4.80765073029015,0.000000000000000E+000,0.128615001118169,0.128615001118169,0.128615001118169,0.128349679383521,2.764992521303248E-002,0.331768008611008,0.380136549027352,0.388516744435961 
