Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,0.978929434567374,4.57063144654620,0.000000000000000E+000,4.54266404579783,0.000000000000000E+000,0.117304058741902,0.117304058741902,0.117304058741902,0.154019599327161,3.317992398525795E-002,9.294299910333617E-002,0.406035247778074,0.158803592316441 
 01/01  02:00:00,0.802149773137644,5.00329854729227,0.000000000000000E+000,4.97754793811644,0.000000000000000E+000,0.128184169275288,0.128184169275288,0.128184169275288,8.984479946806206E-002,1.935495279772985E-002,7.618584051012475E-002,0.373851509163160,9.808448860808089E-002 
 01/01  03:00:00,0.741773723198084,5.24039095553216,0.000000000000000E+000,5.21493890414387,0.000000000000000E+000,0.133844543258713,0.133844543258713,0.133844543258713,6.417484765829316E-002,1.382496603892098E-002,6.232654333565033E-002,0.369516998911993,8.144181067931280E-002 
 01/01  04:00:00,0.734480520420574,5.31747712351816,0.000000000000000E+000,5.29238334147492,0.000000000000000E+000,0.135437308842030,0.135437308842030,0.135437308842030,6.417484765829316E-002,1.382496603892098E-002,5.397647371529803E-002,0.364315586610592,8.610732424023929E-002 
 01/01  05:00:00,0.781581786937849,5.32401384187239,0.000000000000000E+000,5.29986798080460,0.000000000000000E+000,0.135424229611419,0.135424229611419,0.135424229611419,6.417484765829316E-002,1.382496603892098E-002,6.582291696649339E-002,0.350553516563136,0.135137296784385 
 01/01  06:00:00,1.04516352818316,5.22093097924783,0.000000000000000E+000,5.19398613892181,0.000000000000000E+000,0.132616534146401,0.132616534146401,0.132616534146401,6.417484765829316E-002,1.382496603892098E-002,8.007824464053613E-002,0.391189550167829,0.346635372215976 
 01/01  07:00:00,1.65754095919111,4.96058130631612,0.000000000000000E+000,4.92944919301975,0.000000000000000E+000,0.125746807783437,0.125746807783437,0.125746807783437,0.147602159173913,3.179742000169565E-002,0.140383655227083,0.451981056440445,0.743385847249335 
 01/01  08:00:00,2.09854562725163,5.34094496711989,0.000000000000000E+000,5.30786476425978,0.000000000000000E+000,0.135208349225024,0.135208349225024,0.135208349225024,0.301621758501075,6.497734398695361E-002,0.228567473812190,0.480263735829312,0.856262940581879 
 01/01  09:00:00,2.02624512212968,4.66228572636760,0.000000000000000E+000,4.63431832561922,0.000000000000000E+000,0.118131363428446,0.118131363428446,0.118131363428446,0.288786798529254,6.221235318185273E-002,0.301128191032485,0.406035247778074,0.833307154864366 
 01/01  10:00:00,1.76090264227093,3.84176200526126,0.000000000000000E+000,3.81795948564915,0.000000000000000E+000,9.679608619121061E-002,9.679608619121061E-002,9.679608619121061E-002,0.147602159173913,3.179742000169565E-002,0.375064854196324,0.345568829774295,0.747429279618290 
 01/01  11:00:00,1.65674237241262,3.91097162695755,0.000000000000000E+000,3.88660931149379,0.000000000000000E+000,9.945051635157359E-002,9.945051635157359E-002,9.945051635157359E-002,0.121932239230273,2.626743839149390E-002,0.395793165817765,0.353696036495233,0.642958962811078 
