Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,1.01583099436984,6.28187894257594,0.000000000000000E+000,6.25391154182756,0.000000000000000E+000,0.154205612689530,0.154205612689530,0.154205612689530,0.154019599327161,3.317992398525795E-002,9.294299910333617E-002,0.406035247778074,0.158803598171281 
 01/01  02:00:00,0.845331886857293,6.95113445646506,0.000000000000000E+000,6.92538384728923,0.000000000000000E+000,0.171366282895457,0.171366282895457,0.171366282895457,8.984479946806206E-002,1.935495279772985E-002,7.618584051012475E-002,0.373851509163160,9.808448870756041E-002 
 01/01  03:00:00,0.786600018625711,7.23187301647476,0.000000000000000E+000,7.20642096508647,0.000000000000000E+000,0.178670838686208,0.178670838686208,0.178670838686208,6.417484765829316E-002,1.382496603892098E-002,6.232654333565033E-002,0.369516998911993,8.144181067944753E-002 
 01/01  04:00:00,0.770168199644481,6.93243838445755,0.000000000000000E+000,6.90734460241432,0.000000000000000E+000,0.171124988065926,0.171124988065926,0.171124988065926,6.417484765829316E-002,1.382496603892098E-002,5.397647371529803E-002,0.364315586610592,8.610732424025151E-002 
 01/01  05:00:00,0.810842736365628,6.69567671821562,0.000000000000000E+000,6.67153085714780,0.000000000000000E+000,0.164685179039198,0.164685179039198,0.164685179039198,6.417484765829316E-002,1.382496603892098E-002,6.582291696649339E-002,0.350553516563136,0.135137296784386 
 01/01  06:00:00,1.07516640611426,6.61639098593911,0.000000000000000E+000,6.58944614561306,0.000000000000000E+000,0.162619412077502,0.162619412077502,0.162619412077502,6.417484765829316E-002,1.382496603892098E-002,8.007824464053613E-002,0.391189550167829,0.346635372215976 
 01/01  07:00:00,1.68523938047525,6.24253684394687,0.000000000000000E+000,6.21140473065050,0.000000000000000E+000,0.153445229067574,0.153445229067574,0.153445229067574,0.147602159173913,3.179742000169565E-002,0.140383655227083,0.451981056440445,0.743385847249335 
 01/01  08:00:00,2.12385616473580,6.54626840519631,0.000000000000000E+000,6.51318820233620,0.000000000000000E+000,0.160518886709194,0.160518886709194,0.160518886709194,0.301621758501075,6.497734398695361E-002,0.228567473812190,0.480263735829312,0.856262940581879 
 01/01  09:00:00,2.05773219239616,6.07276793029615,0.000000000000000E+000,6.04480052954778,0.000000000000000E+000,0.149618433694932,0.149618433694932,0.149618433694932,0.288786798529254,6.221235318185273E-002,0.301128191032485,0.406035247778074,0.833307154864366 
 01/01  10:00:00,1.79673980832877,5.41350734511775,0.000000000000000E+000,5.38970482550563,0.000000000000000E+000,0.132633252249052,0.132633252249052,0.132633252249052,0.147602159173913,3.179742000169565E-002,0.375064854196324,0.345568829774295,0.747429279618290 
 01/01  11:00:00,1.70377984821408,5.93578393202632,0.000000000000000E+000,5.91142161656257,0.000000000000000E+000,0.146487992863686,0.146487992863686,0.146487992863686,0.121932239230273,2.626743839149390E-002,0.395793165817765,0.353696036495233,0.642958962100430 
 01/01  12:00:00,1.58738503905776,4.37124313230229,0.000000000000000E+000,4.34687335289384,0.000000000000000E+000,0.106861535651295,0.106861535651295,0.106861535651295,0.121932239230273,2.626743839149390E-002,0.413608816278677,0.353804399251512,0.548266596939307 
 01/01  13:00:00,1.46633721231930,3.21006365404048,0.000000000000000E+000,3.18610439158989,0.000000000000000E+000,7.824172813356076E-002,7.824172813356076E-002,7.824172813356076E-002,0.121932239230273,2.626743839149390E-002,0.399656799716067,0.347844447656158,0.475750545876543 
 01/01  14:00:00,1.38437027798331,2.74121870736944,0.000000000000000E+000,2.71643094705844,0.000000000000000E+000,6.728942799177794E-002,6.728942799177794E-002,6.728942799177794E-002,0.121932239230273,2.626743839149390E-002,0.361436104744461,0.359872713603146,0.430928340706952 
 01/01  15:00:00,1.33422606491776,2.48281108135001,0.000000000000000E+000,2.45662756338222,0.000000000000000E+000,6.116114493215735E-002,6.116114493215735E-002,6.116114493215735E-002,0.128349679383521,2.764992521303248E-002,0.331768008611008,0.380136549027352,0.388516744435491 
 01/01  16:00:00,1.41637831495297,2.82238310090001,0.000000000000000E+000,2.79474411371792,0.000000000000000E+000,7.021625389409124E-002,7.021625389409124E-002,7.021625389409124E-002,0.160437119145733,3.456241080679652E-002,0.339922860635529,0.401267286501792,0.393328370653831 
 01/01  17:00:00,1.74580965803265,3.57666473186375,0.000000000000000E+000,3.54397265412747,0.000000000000000E+000,8.938337388653773E-002,8.938337388653773E-002,8.938337388653773E-002,0.269534318738862,5.806485839318955E-002,0.389638974367272,0.474628872502794,0.447915246828794 
 01/01  18:00:00,2.36312428230981,4.97570839568517,0.000000000000000E+000,4.93599274599687,0.000000000000000E+000,0.124380459824328,0.124380459824328,0.124380459824328,0.500563757562266,0.107834727209053,0.480422251988538,0.576598226161501,0.556680846248926 
 01/01  19:00:00,2.77555972330182,4.13115315208791,0.000000000000000E+000,4.08803394362157,0.000000000000000E+000,0.101383576571385,0.101383576571385,0.101383576571385,0.744428156357487,0.160369603992041,0.432594366092666,0.626011643024805,0.664128339948233 
 01/01  20:00:00,2.76172782314784,4.21065880660530,0.000000000000000E+000,4.16615130442685,0.000000000000000E+000,0.103017907590214,0.103017907590214,0.103017907590214,0.789350556091520,0.170047080390905,0.349590930400065,0.646167115692732,0.686910219667200 
 01/01  21:00:00,2.56423884773533,4.61287253852583,0.000000000000000E+000,4.56683492768621,0.000000000000000E+000,0.113185560308868,0.113185560308868,0.113185560308868,0.680253356498389,0.146544632804512,0.310730546875078,0.668381480729962,0.628499257203317 
 01/01  22:00:00,2.33129801416242,5.02034746367748,0.000000000000000E+000,4.97538466087307,0.000000000000000E+000,0.123274155542756,0.123274155542756,0.123274155542756,0.571156156905260,0.123042202380143,0.293949375651685,0.652777243825761,0.550454866541613 
 01/01  23:00:00,1.90703365983627,5.58584683051444,0.000000000000000E+000,5.54693728685250,0.000000000000000E+000,0.137350668550608,0.137350668550608,0.137350668550608,0.429971437884595,9.262726919998608E-002,0.234174255411816,0.564895048483349,0.431370966990720 
 01/01  24:00:00,1.46679820174623,6.10423021675504,0.000000000000000E+000,6.07041854731545,0.000000000000000E+000,0.150139996954098,0.150139996954098,0.150139996954098,0.295204238682502,6.359484000339130E-002,0.151455748256992,0.490883285944670,0.298876078589380 
 01/02  01:00:00,1.01588804947900,6.96025310346803,0.000000000000000E+000,6.93228570271965,0.000000000000000E+000,0.171400544411888,0.171400544411888,0.171400544411888,0.154019599327161,3.317992398525795E-002,8.636931076758889E-002,0.406035247778074,0.148239409893827 
 01/02  02:00:00,0.845420335278844,7.36331499476234,0.000000000000000E+000,7.33756438558648,0.000000000000000E+000,0.180961457277102,0.180961457277102,0.180961457277102,8.984479946806206E-002,1.935495279772985E-002,7.223881327716383E-002,0.373851509163160,9.252478998042749E-002 
 01/02  03:00:00,0.792786109754414,7.82129714839180,0.000000000000000E+000,7.79584509700348,0.000000000000000E+000,0.191547089817501,0.191547089817501,0.191547089817501,6.417484765829316E-002,1.382496603892098E-002,5.971530281942931E-002,0.369516998911993,7.736289119307566E-002 
 01/02  04:00:00,0.792083035830716,8.12863255690037,0.000000000000000E+000,8.10353877485714,0.000000000000000E+000,0.198783990419882,0.198783990419882,0.198783990419882,6.417484765829316E-002,1.382496603892098E-002,5.261106845099969E-002,0.364315586610592,8.172856333682892E-002 
 01/02  05:00:00,0.837736149735342,8.32573958531090,0.000000000000000E+000,8.30159372424311,0.000000000000000E+000,0.203204164904117,0.203204164904117,0.203204164904117,6.417484765829316E-002,1.382496603892098E-002,6.315175921409334E-002,0.350553516563136,0.126182882041581 
 01/02  06:00:00,1.09199402348313,8.58968930244694,0.000000000000000E+000,8.56274446212089,0.000000000000000E+000,0.209304315665654,0.209304315665654,0.209304315665654,6.417484765829316E-002,1.382496603892098E-002,7.598154876300982E-002,0.391189550167829,0.320874781874226 
 01/02  07:00:00,1.66913236770091,8.50297961566508,0.000000000000000E+000,8.47184750236872,0.000000000000000E+000,0.207041890607869,0.207041890607869,0.207041890607869,0.147602159173913,3.179742000169565E-002,0.129758134509170,0.451981056440445,0.684307693652614 
 01/02  08:00:00,2.09461895566874,9.23331454089825,0.000000000000000E+000,9.20023433803814,0.000000000000000E+000,0.224368163549157,0.224368163549157,0.224368163549157,0.301621758501075,6.497734398695361E-002,0.207406094963531,0.480263735829312,0.784337833523512 
 01/02  09:00:00,2.00025634553601,8.21543784540549,0.000000000000000E+000,8.18747044465712,0.000000000000000E+000,0.199848747498846,0.199848747498846,0.199848747498846,0.288786798529254,6.221235318185273E-002,0.268690864190452,0.406035247778074,0.758038321042330 
