Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,1.00729135531893,5.90551905390099,0.000000000000000E+000,5.87755165315262,0.000000000000000E+000,0.145665979292684,0.145665979292684,0.145665979292684,0.154019599327161,3.317992398525795E-002,9.294299910333617E-002,0.406035247778074,0.158803592517220 
 01/01  02:00:00,0.831499858364921,6.38768558384194,0.000000000000000E+000,6.36193497466610,0.000000000000000E+000,0.157534254498140,0.157534254498140,0.157534254498140,8.984479946806206E-002,1.935495279772985E-002,7.618584051012475E-002,0.373851509163160,9.808448861250312E-002 
 01/01  03:00:00,0.773943674166236,6.74857265044902,0.000000000000000E+000,6.72312059906070,0.000000000000000E+000,0.166014494226858,0.166014494226858,0.166014494226858,6.417484765829316E-002,1.382496603892098E-002,6.232654333565033E-002,0.369516998911993,8.144181067931976E-002 
 01/01  04:00:00,0.771046619463324,7.00415443751671,0.000000000000000E+000,6.97906065547347,0.000000000000000E+000,0.172003407884780,0.172003407884780,0.172003407884780,6.417484765829316E-002,1.382496603892098E-002,5.397647371529803E-002,0.364315586610592,8.610732424024095E-002 
 01/01  05:00:00,0.820068551140883,7.08984763768899,0.000000000000000E+000,7.06570177662120,0.000000000000000E+000,0.173910993814452,0.173910993814452,0.173910993814452,6.417484765829316E-002,1.382496603892098E-002,6.582291696649339E-002,0.350553516563136,0.135137296784385 
 01/01  06:00:00,1.08778447355549,7.16227026958497,0.000000000000000E+000,7.13532542925892,0.000000000000000E+000,0.175237479518732,0.175237479518732,0.175237479518732,6.417484765829316E-002,1.382496603892098E-002,8.007824464053613E-002,0.391189550167829,0.346635372215976 
 01/01  07:00:00,1.70110756700393,6.92648061054667,0.000000000000000E+000,6.89534849725030,0.000000000000000E+000,0.169313415596262,0.169313415596262,0.169313415596262,0.147602159173913,3.179742000169565E-002,0.140383655227083,0.451981056440445,0.743385847249335 
 01/01  08:00:00,2.14658974762942,7.51292015629532,0.000000000000000E+000,7.47983995343520,0.000000000000000E+000,0.183252469602807,0.183252469602807,0.183252469602807,0.301621758501075,6.497734398695361E-002,0.228567473812190,0.480263735829312,0.856262940581879 
 01/01  09:00:00,2.07165246479406,6.71457158165355,0.000000000000000E+000,6.68660418090518,0.000000000000000E+000,0.163538706092823,0.163538706092823,0.163538706092823,0.288786798529254,6.221235318185273E-002,0.301128191032485,0.406035247778074,0.833307154864366 
 01/01  10:00:00,1.82053604350269,6.40575328293064,0.000000000000000E+000,6.38195076331853,0.000000000000000E+000,0.156429487422973,0.156429487422973,0.156429487422973,0.147602159173913,3.179742000169565E-002,0.375064854196324,0.345568829774295,0.747429279618290 
